FECHA,PAÍS,DEPARTAMENTO,MUNICIPIO,DELITO,PAIS VÍCTIMA,GENERO,ZONA,CIRCUNSTANCIASPERSONA
2022-04-16T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-04-17T00:00:00.000,COLOMBIA,HUILA,San Agustín,ARTÍCULO 239. HURTO MOTOCICLETAS,ALEMANIA,FEMENINO,RURAL,ALEMANIA
2022-04-17T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-04-18T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,FEMENINO,URBANA,COLOMBIA
2022-04-19T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,CANADA,FEMENINO,URBANA,CANADA
2022-04-20T00:00:00.000,COLOMBIA,ANTIOQUIA,Medellín (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
2022-04-22T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
2022-04-22T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),ARTÍCULO 239. HURTO PERSONAS,VENEZUELA,MASCULINO,URBANA,VENEZUELA
2022-04-23T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,COLOMBIA,MASCULINO,URBANA,COLOMBIA
2022-04-25T00:00:00.000,COLOMBIA,MAGDALENA,Santa Marta (CT),ARTÍCULO 239. HURTO PERSONAS,ESTADOS UNIDOS,MASCULINO,URBANA,ESTADOS UNIDOS
2022-04-28T00:00:00.000,COLOMBIA,BOLÍVAR,Cartagena (CT),ARTÍCULO 269I. HURTO POR MEDIOS INFORMÁTICOS Y SEMEJANTES,COLOMBIA,MASCULINO,URBANA,COLOMBIA
